iter	Passed	Remaining
0	9	9325
1	17	8825
2	25	8459
3	33	8336
4	41	8197
5	49	8143
6	57	8223
7	67	8373
8	76	8399
9	84	8328
10	93	8407
11	103	8543
12	113	8592
13	123	8711
14	133	8750
15	144	8913
16	155	8973
17	165	9032
18	177	9162
19	187	9206
20	194	9085
21	204	9084
22	214	9117
23	222	9036
24	230	8972
25	239	8977
26	251	9052
27	261	9080
28	270	9047
29	277	8980
30	287	8973
31	294	8921
32	302	8877
33	310	8811
34	319	8807
35	328	8791
36	335	8725
37	344	8721
38	351	8656
39	361	8666
40	369	8638
41	375	8573
42	385	8574
43	394	8571
44	400	8508
45	409	8499
46	418	8495
47	426	8452
48	446	8672
49	454	8629
50	462	8611
51	469	8567
52	477	8524
53	485	8512
54	495	8519
55	502	8478
56	512	8476
57	521	8470
58	528	8433
59	537	8421
60	545	8403
61	554	8394
62	564	8388
63	573	8390
64	583	8392
65	590	8363
66	598	8336
67	608	8335
68	615	8299
69	623	8281
70	632	8281
71	641	8269
72	649	8246
73	658	8243
74	669	8254
75	678	8250
76	685	8220
77	695	8225
78	705	8224
79	714	8217
80	721	8190
81	731	8189
82	739	8165
83	746	8140
84	756	8144
85	765	8135
86	773	8118
87	781	8100
88	789	8079
89	799	8084
90	807	8061
91	814	8043
92	823	8030
93	833	8034
94	841	8017
95	850	8009
96	860	8009
97	868	7990
98	877	7983
99	887	7985
100	897	7988
101	906	7979
102	914	7965
103	922	7947
104	929	7924
105	938	7914
106	946	7903
107	955	7892
108	963	7879
109	973	7879
110	981	7858
111	990	7854
112	999	7847
113	1008	7838
114	1016	7824
115	1026	7818
116	1036	7822
117	1045	7812
118	1053	7802
119	1062	7792
120	1072	7793
121	1082	7788
122	1090	7772
123	1099	7764
124	1107	7753
125	1117	7751
126	1126	7745
127	1136	7740
128	1145	7732
129	1153	7718
130	1162	7712
131	1172	7709
132	1182	7708
133	1190	7691
134	1198	7681
135	1208	7675
136	1217	7670
137	1227	7666
138	1237	7662
139	1244	7646
140	1254	7642
141	1262	7625
142	1271	7620
143	1279	7608
144	1289	7604
145	1297	7588
146	1305	7576
147	1313	7561
148	1321	7546
149	1330	7537
150	1337	7518
151	1343	7497
152	1350	7474
153	1356	7451
154	1363	7432
155	1372	7426
156	1379	7406
157	1385	7383
158	1393	7368
159	1400	7353
160	1407	7333
161	1415	7321
162	1424	7314
163	1432	7303
164	1443	7303
165	1453	7300
166	1463	7301
167	1471	7286
168	1480	7278
169	1487	7262
170	1495	7248
171	1505	7245
172	1514	7239
173	1525	7242
174	1536	7243
175	1546	7240
176	1554	7229
177	1564	7224
178	1575	7225
179	1583	7212
180	1591	7200
181	1600	7192
182	1609	7184
183	1617	7172
184	1625	7162
185	1634	7154
186	1641	7135
187	1647	7116
188	1656	7106
189	1661	7082
190	1667	7062
191	1674	7045
192	1679	7023
193	1685	7003
194	1691	6984
195	1697	6964
196	1704	6947
197	1710	6926
198	1716	6908
199	1722	6891
200	1728	6871
201	1734	6852
202	1740	6832
203	1745	6812
204	1751	6791
205	1756	6771
206	1762	6751
207	1767	6731
208	1773	6712
209	1779	6694
210	1785	6675
211	1790	6656
212	1796	6637
213	1801	6617
214	1807	6600
215	1813	6583
216	1818	6563
217	1824	6543
218	1829	6524
219	1834	6504
220	1839	6484
221	1844	6465
222	1849	6444
223	1854	6425
224	1859	6405
225	1864	6386
226	1870	6369
227	1876	6354
228	1881	6335
229	1887	6319
230	1892	6300
231	1897	6282
232	1902	6264
233	1907	6245
234	1912	6226
235	1918	6211
236	1924	6194
237	1929	6178
238	1935	6161
239	1940	6143
240	1944	6125
241	1950	6107
242	1954	6089
243	1959	6071
244	1964	6055
245	1970	6038
246	1975	6021
247	1980	6004
248	1985	5987
249	1990	5970
250	1995	5955
251	2001	5941
252	2007	5926
253	2012	5911
254	2018	5897
255	2024	5884
256	2031	5871
257	2036	5856
258	2041	5840
259	2046	5825
260	2051	5809
261	2056	5793
262	2061	5776
263	2066	5761
264	2071	5745
265	2076	5729
266	2081	5714
267	2086	5699
268	2091	5683
269	2096	5667
270	2101	5652
271	2106	5636
272	2110	5621
273	2116	5606
274	2120	5591
275	2125	5576
276	2131	5563
277	2136	5549
278	2142	5535
279	2147	5521
280	2152	5507
281	2157	5492
282	2162	5478
283	2167	5464
284	2172	5449
285	2177	5436
286	2182	5421
287	2187	5407
288	2192	5393
289	2197	5379
290	2202	5366
291	2207	5352
292	2213	5340
293	2218	5326
294	2223	5312
295	2228	5299
296	2233	5285
297	2238	5272
298	2244	5261
299	2249	5248
300	2254	5235
301	2259	5222
302	2264	5209
303	2269	5196
304	2274	5183
305	2279	5170
306	2284	5157
307	2289	5144
308	2294	5131
309	2299	5118
310	2304	5105
311	2309	5092
312	2314	5079
313	2319	5066
314	2324	5053
315	2328	5040
316	2334	5030
317	2340	5019
318	2345	5007
319	2351	4996
320	2357	4986
321	2363	4976
322	2368	4965
323	2374	4953
324	2379	4941
325	2384	4929
326	2389	4917
327	2394	4906
328	2399	4894
329	2404	4881
330	2409	4870
331	2414	4858
332	2419	4846
333	2424	4834
334	2429	4822
335	2434	4810
336	2439	4799
337	2445	4788
338	2450	4777
339	2455	4766
340	2461	4756
341	2466	4745
342	2471	4734
343	2476	4723
344	2481	4711
345	2486	4700
346	2491	4689
347	2497	4678
348	2503	4669
349	2508	4657
350	2512	4646
351	2518	4635
352	2523	4625
353	2528	4614
354	2534	4604
355	2539	4594
356	2544	4583
357	2550	4573
358	2555	4562
359	2560	4551
360	2565	4541
361	2571	4531
362	2576	4521
363	2582	4511
364	2587	4500
365	2592	4490
366	2597	4480
367	2602	4469
368	2607	4459
369	2613	4449
370	2618	4438
371	2623	4428
372	2628	4418
373	2633	4407
374	2638	4396
375	2643	4386
376	2647	4375
377	2652	4365
378	2657	4354
379	2662	4344
380	2667	4333
381	2672	4323
382	2678	4315
383	2683	4305
384	2688	4295
385	2693	4285
386	2698	4274
387	2703	4265
388	2709	4256
389	2715	4246
390	2720	4237
391	2725	4227
392	2730	4217
393	2735	4207
394	2740	4197
395	2745	4187
396	2750	4177
397	2755	4167
398	2760	4157
399	2765	4147
400	2770	4138
401	2775	4128
402	2780	4118
403	2786	4111
404	2792	4101
405	2797	4092
406	2802	4082
407	2807	4073
408	2812	4063
409	2817	4054
410	2822	4044
411	2826	4034
412	2832	4025
413	2837	4015
414	2842	4006
415	2847	3997
416	2853	3988
417	2858	3980
418	2863	3971
419	2868	3961
420	2874	3952
421	2879	3943
422	2884	3934
423	2889	3924
424	2894	3916
425	2900	3907
426	2905	3898
427	2910	3889
428	2915	3880
429	2920	3871
430	2925	3862
431	2930	3853
432	2935	3844
433	2940	3835
434	2945	3826
435	2950	3816
436	2955	3808
437	2960	3798
438	2965	3789
439	2970	3780
440	2975	3771
441	2980	3762
442	2985	3753
443	2990	3744
444	2995	3735
445	3001	3727
446	3007	3720
447	3012	3711
448	3017	3703
449	3022	3694
450	3027	3685
451	3033	3677
452	3039	3669
453	3045	3662
454	3050	3654
455	3056	3646
456	3062	3639
457	3068	3630
458	3073	3622
459	3078	3613
460	3083	3604
461	3088	3596
462	3093	3587
463	3097	3578
464	3102	3570
465	3109	3562
466	3114	3554
467	3119	3546
468	3124	3537
469	3129	3528
470	3134	3520
471	3139	3511
472	3144	3503
473	3148	3494
474	3153	3485
475	3158	3477
476	3163	3468
477	3168	3460
478	3173	3451
479	3178	3443
480	3183	3434
481	3188	3426
482	3192	3417
483	3197	3409
484	3203	3401
485	3207	3392
486	3213	3385
487	3219	3378
488	3224	3370
489	3230	3361
490	3235	3353
491	3239	3345
492	3244	3337
493	3249	3328
494	3254	3320
495	3259	3311
496	3264	3303
497	3269	3295
498	3274	3287
499	3278	3278
500	3283	3270
501	3288	3262
502	3293	3254
503	3298	3246
504	3303	3237
505	3308	3229
506	3313	3221
507	3318	3213
508	3324	3207
509	3330	3200
510	3336	3193
511	3341	3185
512	3346	3177
513	3351	3169
514	3356	3161
515	3361	3153
516	3366	3145
517	3371	3137
518	3376	3129
519	3381	3121
520	3386	3113
521	3391	3105
522	3396	3097
523	3402	3090
524	3407	3082
525	3412	3074
526	3417	3067
527	3422	3059
528	3429	3053
529	3435	3046
530	3441	3039
531	3447	3032
532	3452	3025
533	3458	3017
534	3463	3010
535	3468	3002
536	3474	2995
537	3480	2989
538	3487	2982
539	3492	2975
540	3498	2967
541	3503	2960
542	3508	2952
543	3513	2945
544	3520	2938
545	3526	2932
546	3532	2925
547	3539	2919
548	3546	2913
549	3552	2906
550	3558	2899
551	3564	2892
552	3570	2886
553	3580	2882
554	3588	2877
555	3597	2872
556	3605	2867
557	3615	2864
558	3624	2859
559	3635	2856
560	3645	2852
561	3654	2848
562	3664	2844
563	3673	2839
564	3680	2833
565	3686	2826
566	3692	2819
567	3697	2812
568	3705	2806
569	3716	2803
570	3722	2796
571	3727	2789
572	3733	2782
573	3740	2775
574	3746	2768
575	3751	2761
576	3758	2755
577	3781	2760
578	3788	2754
579	3795	2748
580	3802	2742
581	3808	2735
582	3814	2728
583	3822	2722
584	3831	2718
585	3838	2711
586	3845	2705
587	3851	2698
588	3858	2692
589	3869	2689
590	3879	2684
591	3886	2678
592	3894	2672
593	3903	2667
594	3911	2662
595	3920	2657
596	3926	2650
597	3934	2645
598	3943	2639
599	3949	2632
600	3954	2625
601	3960	2618
602	3966	2611
603	3973	2605
604	3983	2600
605	3992	2596
606	3999	2589
607	4006	2583
608	4014	2577
609	4021	2570
610	4027	2564
611	4036	2559
612	4044	2553
613	4052	2547
614	4059	2541
615	4066	2534
616	4072	2527
617	4079	2521
618	4088	2516
619	4094	2509
620	4101	2503
621	4110	2498
622	4118	2492
623	4124	2485
624	4130	2478
625	4135	2470
626	4141	2463
627	4151	2459
628	4158	2452
629	4164	2445
630	4170	2438
631	4175	2431
632	4181	2424
633	4190	2419
634	4198	2413
635	4204	2406
636	4211	2399
637	4218	2393
638	4223	2386
639	4229	2379
640	4235	2372
641	4240	2364
642	4246	2357
643	4252	2350
644	4260	2344
645	4268	2339
646	4274	2332
647	4280	2325
648	4285	2317
649	4292	2311
650	4300	2305
651	4308	2299
652	4314	2292
653	4321	2286
654	4328	2279
655	4336	2274
656	4344	2267
657	4350	2261
658	4356	2254
659	4362	2247
660	4368	2240
661	4374	2233
662	4380	2226
663	4386	2219
664	4392	2212
665	4400	2206
666	4406	2199
667	4412	2193
